
ID,Type,Issued,Title,Language,Authors,Subjects;;;;;;;;;;;;;;
"1,Text,1971-12-01,The Declaration of Independence of the United States of America,en,""Jefferson, Thomas"",""E201 "; JK ; United States -- History -- Revolution, 1775-1783 -- Sources ;" United States. Declaration of Independence""";;;;;;;;;;;
"2,Text,1972-12-01,""The United States Bill of Rights";;;;;;;;;;;;;;
"The Ten Original Amendments to the Constitution of the United States"",en,United States,Civil rights -- United States -- Sources "; JK ; United States. Constitution. 1st-10th Amendments ; KF;;;;;;;;;;;
"3,Text,1973-11-01,John F. Kennedy's Inaugural Address,en,""Kennedy, John F. (John Fitzgerald)"",E838 "; United States -- Foreign relations -- 1961-1963 ; Presidents -- United States -- Inaugural addresses;;;;;;;;;;;;
"4,Text,1973-11-01,""Lincoln's Gettysburg Address";;;;;;;;;;;;;;
"Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA"",en,""Lincoln, Abraham"",""E456 "; Soldiers' National Cemetery (Gettysburg, Pa.) ; Consecration of cemeteries -- Pennsylvania -- Gettysburg ;" Lincoln, Abraham, 1809-1865. Gettysburg address""";;;;;;;;;;;
5,Text,1975-12-01,The United States Constitution,en,United States,JK ; United States. Constitution ; United States -- Politics and government -- 1783-1789 -- Sources ; KF;;;;;;;;;;;
"6,Text,1976-12-01,Give Me Liberty or Give Me Death,en,""Henry, Patrick"",""E201 "; United States -- Politics and government -- 1775-1783 -- Sources ; Virginia -- Politics and government -- 1775-1783 -- Sources ;" Speeches, addresses, etc., American""";;;;;;;;;;;
"7,Text,1977-12-01,The Mayflower Compact,en,,""Mayflower Compact (1620) "; Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources ; Pilgrims (New Plymouth Colony) ;" F001""";;;;;;;;;;;
"8,Text,1978-12-01,Abraham Lincoln's Second Inaugural Address,en,""Lincoln, Abraham"",E456 "; United States -- Politics and government -- 1861-1865 ; Presidents -- United States -- Inaugural addresses;;;;;;;;;;;;
"9,Text,1979-12-01,Abraham Lincoln's First Inaugural Address,en,""Lincoln, Abraham"",E456 "; Presidents -- United States -- Inaugural addresses ; United States -- Politics and government -- 1861-1865;;;;;;;;;;;;
10,Text,1989-08-01,The King James Version of the Bible,en,,Bible ; BS;;;;;;;;;;;;;
"11,Text,2008-06-27,Alice's Adventures in Wonderland,en,""Carroll, Lewis"",Imaginary places -- Juvenile fiction "; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR;;;;;;;;;
"12,Text,2008-06-25,Through the Looking-Glass,en,""Carroll, Lewis"",Imaginary places -- Juvenile fiction "; Children's stories ; PZ ; Alice (Fictitious character from Carroll) -- Juvenile fiction ; Fantasy fiction ; PR;;;;;;;;;
"13,Text,2008-06-25,The Hunting of the Snark: An Agony in Eight Fits,en,""Carroll, Lewis"",""PR ";" Nonsense verses, English""";;;;;;;;;;;;;
"14,Text,1991-04-01,The 1990 CIA World Factbook,en,United States. Central Intelligence Agency,""Political statistics -- Handbooks, manuals, etc. "; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ;" Geography -- Handbooks, manuals, etc.""";;;;;;;;;;
"15,Text,1991-05-01,""Moby-Dick";" or, The Whale"",en,""Melville, Herman"",""Whales -- Fiction "; Ahab, Captain (Fictitious character) -- Fiction ; Psychological fiction ; Adventure stories ; Sea stories ; Whaling ships -- Fiction ; Whaling -- Fiction ; PS ; Ship captains -- Fiction ;" Mentally ill -- Fiction""";;;;
"16,Text,2008-06-25,Peter Pan,en,""Barrie, J. M. (James Matthew)"",Peter Pan (Fictitious character) -- Fiction "; Fairies -- Fiction ; Fantasy literature ; PZ ; Never-Never Land (Imaginary place) -- Fiction ; Pirates -- Fiction ; PR;;;;;;;;
"17,Text,2008-06-25,The Book of Mormon,en,""Smith, Joseph, Jr. ";" Church of Jesus Christ of Latter-day Saints"",Church of Jesus Christ of Latter-day Saints -- Sacred books "; BX ; Latter Day Saint churches -- Sacred books;;;;;;;;;;;
"18,Text,1991-08-01,The Federalist Papers,en,""Madison, James "; Jay, John ;" Hamilton, Alexander"",JK "; Constitutional history -- United States -- Sources ; KF ; Constitutional law -- United States;;;;;;;;;
"19,Text,2004-06-01,The Song of Hiawatha,en,""Longfellow, Henry Wadsworth"",""Iroquois Indians -- Kings and rulers -- Poetry "; Hiawatha, active 15th century -- Poetry ; Indians of North America -- Poetry ;" PS""";;;;;;;;;;;
"20,Text,1991-10-01,Paradise Lost,en,""Milton, John"",Fall of man -- Poetry "; Eve (Biblical figure) -- Poetry ; Bible. Genesis -- History of Biblical events -- Poetry ; Adam (Biblical figure) -- Poetry ; PR;;;;;;;;;;
"21,Text,2008-06-25,""Aesop's Fables";;;;;;;;;;;;;;
"Translated by George Fyler Townsend"",en,Aesop,""Aesop's fables -- Translations into English "; Fables, Greek -- Translations into English ; PA ;" PZ""";;;;;;;;;;;
"22,Text,1991-12-01,Roget's Thesaurus,en,""Roget, Peter Mark"",English language -- Synonyms and antonyms "; PE;;;;;;;;;;;;;
"23,Text,2006-01-12,""Narrative of the Life of Frederick Douglass, an American Slave"",en,""Douglass, Frederick"",""African American abolitionists -- Biography "; Douglass, Frederick, 1818-1895 ; Enslaved persons -- United States -- Biography ; Abolitionists -- United States -- Biography ;" E300""";;;;;;;;;;
"24,Text,2008-06-27,O Pioneers!,en,""Cather, Willa"",Swedish Americans -- Fiction "; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction;;;;
"25,Text,1992-02-01,The 1991 CIA World Factbook,en,United States. Central Intelligence Agency,""Political statistics -- Handbooks, manuals, etc. "; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ;" Geography -- Handbooks, manuals, etc.""";;;;;;;;;;
"26,Text,1992-02-01,Paradise Lost,en,""Milton, John"",Fall of man -- Poetry "; Eve (Biblical figure) -- Poetry ; Bible. Genesis -- History of Biblical events -- Poetry ; Adam (Biblical figure) -- Poetry ; PR;;;;;;;;;;
"27,Text,1992-03-01,Far from the Madding Crowd,en,""Hardy, Thomas"",Triangles (Interpersonal relations) -- Fiction "; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR;;;;;;;
"28,Text,1992-03-01,""The Fables of Aesop";;;;;;;;;;;;;;
"Selected, Told Anew, and Their History Traced"",en,Aesop,""Fables, Greek -- Adaptations "; Aesop's fables -- Adaptations ; PA ;" PZ""";;;;;;;;;;;
29,Text,1992-04-01,The 1990 United States Census,en,United States. Bureau of the Census,United States -- Population -- Statistics ; Housing -- United States -- Statistics ; United States -- Census ; HA;;;;;;;;;;;
"30,Text,1992-04-01,""The Bible, King James Version, Complete"",en,,Bible "; BS;;;;;;;;;;;;;
31,Text,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,Sophocles,Antigone (Mythological character) -- Drama ; Tragedies ; Greek drama (Tragedy) -- Translations into English ; Oedipus (Greek mythological figure) -- Drama ; PA;;;;;;;;
"32,Text,2008-06-27,Herland,en,""Gilman, Charlotte Perkins"",Women -- Fiction "; Utopias -- Fiction ; Black humor ; PS ; Utopian fiction;;;;;;;;;;
"33,Text,1992-06-01,The Scarlet Letter,en,""Hawthorne, Nathaniel"",""Revenge -- Fiction "; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ;" Historical fiction""";;;
"34,Text,1992-06-01,Zen and the Art of the Internet,en,""Kehoe, Brendan P."",Information networks "; Internet ; Computer networks ; TK ; Information retrieval;;;;;;;;;;
"35,Text,2004-10-02,The Time Machine,en,""Wells, H. G. (Herbert George)"",Science fiction "; Time travel -- Fiction ; PR ; Dystopias -- Fiction;;;;;;;;;;;
"36,Text,2004-10-01,The War of the Worlds,en,""Wells, H. G. (Herbert George)"",Imaginary wars and battles -- Fiction "; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR;;;;;;;
37,Text,1992-08-01,The 1990 United States Census [2nd],en,United States. Bureau of the Census,United States -- Census ; Housing -- United States -- Statistics ; United States -- Population -- Statistics ; HA;;;;;;;;;;;
"38,Text,1992-08-01,""The Jargon File, Version 2.9.10, 01 Jul 1992"",en,,Computers -- Slang -- Dictionaries "; Computers -- Humor ; TK ; Electronic data processing -- Terminology -- Humor;;;;;;;;;;;
"39,Text,1992-09-01,Hitchhiker's Guide to the Internet,en,""Krol, Ed"",Internet "; Computer networks ; TK;;;;;;;;;;;;
